Название статьи	Дата публикации	Автор статьи	Рубрика	Путь к файлу	Название статьи (lemma)
ОЦЕНКА ГОТОВНОСТИ ЛИЦЕЯ К УЧЕБНОМУ ГОДУ —  ОТЛИЧНО	Сентябрь 9th, 2015 09:31 ДП	-	Район: день за днем	2015/September/1076.txt	оценка готовность лицей к учебный год —  отлично
НУЖНА ПОМОЩЬ	Сентябрь 9th, 2015 09:30 ДП	-	Службы информируют	2015/September/1077.txt	нужный помощь
НАПОЛНИ СОЦИАЛЬНЫЙ ПОГРЕБОК	Сентябрь 9th, 2015 09:30 ДП	-	Службы информируют	2015/September/1078.txt	наполнять социальный погребок
ПРИГЛАШАЕМ НА ПРЕЗЕНТАЦИЮ	Сентябрь 9th, 2015 09:29 ДП	-	Информация	2015/September/1079.txt	приглашать на презентация
ОБЕСПЕЧИВАЯ КОНСТИТУЦИОННЫЕ ПРАВА ГРАЖДАН	Сентябрь 9th, 2015 09:29 ДП	-	Народ и власть	2015/September/1080.txt	обеспечивать конституционный право гражданин
ПРИГЛАШАЕМ НА ФЕСТИВАЛЬ!	Июль 16th, 2015 09:03 ПП	-	Район: день за днем	2015/July/1081.txt	приглашать на фестиваль!
ИНФОРМ-КУРЬЕР	Июль 16th, 2015 08:45 ПП	-	Разное	2015/July/1082.txt	информ-курьер
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Июль 16th, 2015 08:38 ПП	-	Разное	2015/July/1083.txt	в правительство область
20 ТОНН ГУМАНИТАРНОГО ГРУЗА ИЗ БРЯНСКА — В ДОНЕЦК	Июль 16th, 2015 08:32 ПП	-	Разное	2015/July/1084.txt	20 тонна гуманитарный груз из брянск — в донецк
В ГОД ЗОЛОТОЙ СВАДЬБЫ	Июль 16th, 2015 08:28 ПП	-	Судьбы людские	2015/July/1085.txt	в год золотой свадьба
ЭСТАФЕТУ ПРИНИМАЕТ БРЯНСКИЙ РАЙОН	Июль 16th, 2015 08:25 ПП	-	Разное	2015/July/1086.txt	эстафета принимать брянский район
ЛЕСОПОЖАРНАЯ ОБСТАНОВКА — ПОД КОНТРОЛЕМ	Июль 15th, 2015 12:48 ПП	-	Разное	2015/July/1087.txt	лесопожарный обстановка — под контроль
Телеканал «Брянская Губерния» стал еще доступнее	Июль 15th, 2015 12:38 ПП	-	Информация	2015/July/1088.txt	телеканал «брянский губерния» становиться еще доступный
Информация о программе «Жилье для российской семьи» на территории Брянской области	Июль 14th, 2015 04:31 ПП	-	-	2015/July/1089.txt	информация о программа «жилье для российский семья» на территория брянский область
В ДЕНЬ ПЕТРА И ФЕВРОНИИ 	Июль 15th, 2015 01:07 ПП	-	Разное	2015/July/1090.txt	в день петр и феврония 
ИНФОРМ-КУРЬЕР	Июль 15th, 2015 12:51 ПП	-	Разное	2015/July/1091.txt	информ-курьер
ВОЛШЕБНЫЙ ПЛАСТИЛИН	Июль 31st, 2015 08:49 ДП	-	Разное	2015/July/1092.txt	волшебный пластилин
ИНТЕРЕСНАЯ ВСТРЕЧА	Июль 31st, 2015 08:48 ДП	-	Это интересно	2015/July/1093.txt	интересный встреча
ПРАВИЛА ЖИЗНИ	Май 15th, 2015 10:03 ДП	Юлия КУЗИНА.	Разное	2015/May/1094.txt	правило жизнь
БРЯНСК ВСТРЕТИЛ ДЕНЬ ПОБЕДЫ	Май 13th, 2015 10:01 ДП	-	Культурно-массовые, спортивные и общественно-просветительские мероприятия	2015/May/1095.txt	брянск встречать день победа
ПОКЛОНИМСЯ ВЕЛИКИМ ТЕМ ГОДАМ	Май 13th, 2015 09:56 ДП	Елена Артикуленко	Культурно-массовые, спортивные и общественно-просветительские мероприятия	2015/May/1096.txt	поклониться великий тот год
ВАЖНО ДОНЕСТИ ПРАВДУ О ВОЙНЕ	Май 13th, 2015 09:50 ДП	Александр КАЗАКОВ.	Культурно-массовые, спортивные и общественно-просветительские мероприятия	2015/May/1097.txt	важно доносить правда о война
ЧЕСТВОВАЛИ ВЕТЕРАНОВ	Май 13th, 2015 09:48 ДП	Артем СЕРГЕЕВ.	Культурно-массовые, спортивные и общественно-просветительские мероприятия	2015/May/1098.txt	чествовать ветеран
ПРЕДУПРЕДИТЬ ДЕТСКУЮ ШАЛОСТЬ С ОГНЕМ	Май 8th, 2015 10:49 ДП	Е.Н. Зуйков,	Службы информируют	2015/May/1099.txt	предупреждать детский шалость с огонь
ОСНОВНЫЕ СВЕДЕНИЯ О ЕГЭ	Май 8th, 2015 10:48 ДП	-	Информация	2015/May/1100.txt	основной сведение о егэ
МОЯ СЕМЬЯ В ИСТОРИИ ПАРТИЗАНСКОГО ДВИЖЕНИЯ	Май 8th, 2015 10:48 ДП	Иван Проконин.	«Творцы Победы»	2015/May/1101.txt	мой семья в история партизанский движение
КАК ЖЕ ДОЛГО МЫ ИСКАЛИ ТЕБЯ…	Май 8th, 2015 10:46 ДП	Твоя правнучка	«Творцы Победы»	2015/May/1102.txt	как же долго мы искать ты…
«ПЕСНЯ, ОПАЛЁННАЯ ВОЙНОЙ»	Май 8th, 2015 10:45 ДП	Н.В. Шаболдина.	Культурно-массовые, спортивные и общественно-просветительские мероприятия	2015/May/1103.txt	«песня, опалять война»
НАРОДНАЯ ЛЕТОПИСЬ	Май 8th, 2015 10:44 ДП	Виктория БУРОВА.	Культурно-массовые, спортивные и общественно-просветительские мероприятия	2015/May/1104.txt	народный летопись
ЖЕЛАЮ ВАМ СЧАСТЬЯ И МИРНОГО НЕБА!	Май 8th, 2015 10:44 ДП	-	Культурно-массовые, спортивные и общественно-просветительские мероприятия	2015/May/1105.txt	желать вы счастие и мирный небо!
«ГЕОРГИЕВСКАЯ ЛЕНТА ОНЛАЙН»	Май 8th, 2015 10:07 ДП	-	Районные, областные и федеральные акции	2015/May/1106.txt	«георгиевский лента онлайн»
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Май 8th, 2015 09:50 ДП	-	Народ и власть	2015/May/1107.txt	в правительство область
«НАША ВЕЛИКАЯ ПОБЕДА»	Май 8th, 2015 09:49 ДП	-	Районные, областные и федеральные акции	2015/May/1108.txt	«наш великий победа»
МЫ — ВМЕСТЕ!	Май 8th, 2015 09:34 ДП	   Е.В. Привалова.	Культурно-массовые, спортивные и общественно-просветительские мероприятия	2015/May/1109.txt	мы — вместе!
ЗНАТОКИ СОЛЬФЕДЖИО	Март 20th, 2015 02:10 ПП	Валерий ШВЕДОВ.	Разное	2015/March/1110.txt	знаток сольфеджио
ЛЕГКИЙ ШАРМ, УТОНЧЕННЫЙ ВКУС, ДУШЕВНАЯ МОЛОДОСТЬ И КРАСОТА…	Март 6th, 2015 01:39 ПП	Родители Нетьинской школы.	Письмо в газету	2015/March/1111.txt	легкий шарм, утонченный вкус, душевный молодость и красота…
«ЗАКЛИНАНИЕ ВЕСНЫ»	Март 6th, 2015 01:38 ПП	-	Информация	2015/March/1112.txt	«заклинание весна»
ПРИМЕР ВЕРНОГО СЛУЖЕНИЯ РОДИНЕ	Март 6th, 2015 01:34 ПП	-	«Творцы Победы»	2015/March/1113.txt	пример верный служение родина
Информация	Март 6th, 2015 10:30 ДП	-	К 70-летию Великой Победы	2015/March/1114.txt	информация
АЛЕКСАНДР БОГОМАЗ ЗАЩИТИЛ ИНТЕРЕСЫ БРЯНСКИХ ПРОИЗВОДИТЕЛЕЙ	Март 5th, 2015 03:00 ПП	-	Народ и власть	2015/March/1115.txt	александр богомаз защищать интерес брянский производитель
ЛЕТЧИК СЕРГЕЙ АЗАРОВ	Март 5th, 2015 03:00 ПП	-	«Творцы Победы»	2015/March/1116.txt	летчик сергей азаров
С НОВЫМИ РЕКОРДАМИ	Март 5th, 2015 02:59 ПП	Дмитрий КУЛЕШОВ.	Спорт	2015/March/1117.txt	с новый рекорд
ГОРИ ЯСНО, ЧТОБЫ НЕ ПОГАСЛО!	Март 5th, 2015 02:58 ПП	 Галина Чеплухова.	Разное	2015/March/1118.txt	гореть ясно, чтобы не погасать!
«МАСЛЕНИЧНЫЙ РАЗГУЛЯЙ»	Март 5th, 2015 02:57 ПП	         Владимир Левин.	Разное	2015/March/1119.txt	«масленичный разгуливать»
ПЕЛИ, ВЕСЕЛИЛИСЬ В ОТРАДНОМ	Март 5th, 2015 02:57 ПП	     Светлана Дулина.	Разное	2015/March/1120.txt	петь, веселиться в отрадное
ФЕСТИВАЛЬ ПАТРИОТИЧЕСКОЙ ПЕСНИ	Март 6th, 2015 01:42 ПП	-	К 70-летию Великой Победы	2015/March/1121.txt	фестиваль патриотический песня
СПАСИБО ЗА ЗАБОТУ МОЛОДЁЖНОМУ СОВЕТУ!	Март 6th, 2015 01:42 ПП	-	К 70-летию Великой Победы	2015/March/1122.txt	спасибо за забота молодежный совет!
У ВОЙНЫ НЕ ЖЕНСКОЕ ЛИЦО?	Март 6th, 2015 01:41 ПП	-	«Творцы Победы»	2015/March/1123.txt	у война не женский лицо?
ДОБРОГО ВАМ ЗДОРОВЬЯ!	Март 6th, 2015 01:40 ПП	-	«Творцы Победы»	2015/March/1124.txt	добрый вы здоровье!
ЗАИГРАЕТ ГАРМОНИСТ — И ВСЕ В ПЛЯС!	Март 6th, 2015 01:39 ПП	-	«Творцы Победы»	2015/March/1125.txt	заиграть гармонист — и все в пляс!
БОЛЬШАЯ ДРУЖНАЯ СЕМЬЯ	Март 13th, 2015 12:15 ПП	 Нина БЕЛИКОВА,	Наши земляки	2015/March/1126.txt	большой дружный семья
C ЮБИЛЕЕМ!	Март 13th, 2015 12:14 ПП	-	Наши земляки	2015/March/1127.txt	C юбилей!
«ТАНЦЕВАЛЬНАЯ СТРАНА»	Март 13th, 2015 12:13 ПП	-	К 70-летию Великой Победы	2015/March/1128.txt	«танцевальный страна»
СОЦИАЛЬНОЕ ОБСЛУЖИВАНИЕ ГРАЖДАН	Март 13th, 2015 12:11 ПП	Директор КЦСОН 	Службы информируют	2015/March/1129.txt	социальный обслуживание гражданин
НА «НОВЫЙ СТАРТ»	Март 18th, 2015 01:17 ПП	-	К 70-летию Великой Победы	2015/March/1130.txt	на «новый старт»
НАШИМ РОДНЫМ И ЛЮБИМЫМ	Март 18th, 2015 01:15 ПП	-	Письмо в газету	2015/March/1131.txt	наш родной и любимый
ЕЁ ВЕЛИЧЕСТВО ЖЕНЩИНА	Март 18th, 2015 01:15 ПП	Н.В. Шаболдина,	Район: день за днем	2015/March/1132.txt	ее величество женщина
С ХОРОШИМ РЕЗУЛЬТАТОМ	Март 18th, 2015 01:14 ПП	-	К 70-летию Великой Победы	2015/March/1133.txt	с хороший результат
ДУХОВЕНСТВО БРЯНСКОЙ ЕПАРХИИ ПОСЕТИЛО МУЗЕЙ БРЯНСКОГО РАЙОНА	Январь 21st, 2015 12:56 ПП	 Владислава Суворова.	Район: день за днем	2015/January/1134.txt	духовенство брянский епархия посещать музей брянский район
СВЕТЛЫЙ ПРАЗДНИК РОЖДЕСТВА	Январь 21st, 2015 12:55 ПП	 Анна Гончарова.	Район: день за днем	2015/January/1135.txt	светлый праздник рождество
В БРЯНСКОЙ ОБЛАСТНОЙ ДУМЕ	Январь 21st, 2015 12:55 ПП	Информационно-аналитический отдел	Народ и власть	2015/January/1136.txt	в брянский областной дума
НЕРАВНОДУШНЫЙ ЧЕЛОВЕК	Январь 21st, 2015 12:54 ПП	Нина Беликова.                         	Наши земляки	2015/January/1137.txt	неравнодушный человек
АПРЕЛЬСКАЯ НЕДЕЛЯ ОХРАНЫ ТРУДА	Январь 21st, 2015 12:53 ПП	-	Информация	2015/January/1138.txt	апрельский неделя охрана труд
ПОЖАР ЛОКАЛИЗОВАН	Январь 21st, 2015 12:53 ПП	-	Происшествия	2015/January/1139.txt	пожар локализовать
РОЖДЕСТВЕНСКИЕ ПОСИДЕЛКИ	Январь 16th, 2015 09:42 ДП	Ирина ЛИТВИНОВА.	Письмо в газету	2015/January/1140.txt	рождественский посиделки
МОЛОДЫЕ ТАЛАНТЫ РОССИИ	Январь 16th, 2015 09:41 ДП	Валерий Шведов, 	Разное	2015/January/1141.txt	молодой талант россия
СЕРПАНТИН НОВОГОДНИХ ЗАТЕЙ	Январь 16th, 2015 09:40 ДП	В.В. Шупыро,	Район: день за днем	2015/January/1142.txt	серпантин новогодний затея
