"Название статьи"	"Дата публикации"	"Автор статьи"	"Рубрика"	"Путь к файлу"
"«ПОКЛОН ВАМ НИЗКИЙ, ДО ЗЕМЛИ»"	"Июль 3rd, 2015 07:50 ДП"	"-"	"Разное"	"2015/July/464.txt"
"ОЛИМПИЙСКИЙ ДЕНЬ"	"Июль 3rd, 2015 07:49 ДП"	"-"	"Спорт"	"2015/July/465.txt"
"СПАСИБО ЗА ВСТРЕЧУ С ПРЕКРАСНЫМ!"	"Июль 15th, 2015 02:01 ПП"	"-"	"Письмо в газету"	"2015/July/466.txt"
"НЕЗАБЫВАЕМАЯ ПОЕЗДКА"	"Июль 15th, 2015 01:59 ПП"	"-"	"Разное"	"2015/July/467.txt"
"Изменена форма платежного документа для внесения платы за содержание и ремонт жилого помещения и предоставление коммунальных услуг"	"Июль 15th, 2015 01:54 ПП"	"-"	"Информация"	"2015/July/468.txt"
"МНОГОДЕТНЫЕ МАМЫ МОГУТ ВЫЙТИ НА ПЕНСИЮ В 50 ЛЕТ"	"Июль 15th, 2015 01:52 ПП"	"-"	"Информация"	"2015/July/469.txt"
"С ДНЕМ РОЖДЕНИЯ, ОТРАДНОЕ!"	"Июль 15th, 2015 01:50 ПП"	"-"	"Район: день за днем"	"2015/July/470.txt"
"БРЯНСКИЙ АГРАРНЫЙ УНИВЕРСИТЕТ — В ПЯТЕРКЕ ЛУЧШИХ"	"Июль 15th, 2015 01:42 ПП"	"-"	"Разное"	"2015/July/471.txt"
"«ВНУЧАТА — 2015″ ПРИГЛАШАЮТ ИНСТРУКТОРОВ-ДОБРОВОЛЬЦЕВ"	"Июль 15th, 2015 01:28 ПП"	"-"	"Информация"	"2015/July/472.txt"
"ВСЕГДА ВМЕСТЕ"	"Июль 15th, 2015 01:24 ПП"	"-"	"Судьбы людские"	"2015/July/473.txt"
"ИЗМЕНЕНИЕ С 1 ИЮЛЯ 2015 ГОДА ТАРИФОВ НА УСЛУГИ ОРГАНИЗАЦИЙ КОММУНАЛЬНОГО КОМПЛЕКСА В БРЯНСКОЙ ОБЛАСТИ"	"Июль 15th, 2015 01:18 ПП"	"-"	"Информация"	"2015/July/474.txt"
"ЯГОДНЫЕ СТРАСТИ: ИСТОРИЯ ОДНОГО СПАСЕНИЯ"	"Июль 15th, 2015 01:13 ПП"	"-"	"Происшествия"	"2015/July/475.txt"
"ПРАВА И ОБЯЗАННОСТИ РЕБЕНКА"	"Июль 17th, 2015 01:01 ПП"	"-"	"Службы информируют"	"2015/July/476.txt"
"ПРИГЛАШАЕМ НА ВЫСТАВКУ «НЕ СЕБЕ, А РОДИНЕ»"	"Июль 17th, 2015 12:40 ПП"	"-"	"Информация"	"2015/July/477.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Июль 17th, 2015 11:52 ДП"	"-"	"Народ и власть"	"2015/July/478.txt"
"ПРАЗДНИКИ В НОВЫХ ДАРКОВИЧАХ"	"Июль 17th, 2015 11:44 ДП"	"-"	"Район: день за днем"	"2015/July/479.txt"
"СТАТЬ ВЕДУЩЕЙ АГРАРНОЙ ГУБЕРНИЕЙ"	"Июль 17th, 2015 10:51 ДП"	"-"	"Разное"	"2015/July/480.txt"
"ВНИМАНИЮ МНОГОДЕТНЫХ СЕМЕЙ"	"Июль 22nd, 2015 07:58 ДП"	"-"	"Службы информируют"	"2015/July/481.txt"
"ДЛЯ ЭКСПОРТА В ОАЭ"	"Июль 24th, 2015 10:42 ДП"	"-"	"Народ и власть"	"2015/July/482.txt"
"СЕМЬЯ — ЭТО ТО, ЧТО МЫ ДЕЛИМ НА ВСЕХ"	"Май 27th, 2015 02:37 ПП"	"Елена Лазутина."	"Район: день за днем"	"2015/May/483.txt"
"А ЛЮБОВЬ КАТЮША СБЕРЕЖЕТ!"	"Май 22nd, 2015 10:04 ДП"	"Виолетта БУРНАЙКИНА."	"«Творцы Победы»"	"2015/May/484.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Май 22nd, 2015 10:03 ДП"	"-"	"Народ и власть"	"2015/May/485.txt"
"КОМПЛЕКСНЫЙ ЦЕНТР И ВОЛОНТЕРЫ ПОМОГЛИ ВЕТЕРАНАМ"	"Май 22nd, 2015 10:02 ДП"	"С.А. Литвинова,"	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/486.txt"
"ПОСОБИЯ МНОГОДЕТНЫМ СЕМЬЯМ"	"Май 22nd, 2015 10:01 ДП"	"Начальник отдела соцзащиты"	"Службы информируют"	"2015/May/487.txt"
"БЕРЕЧЬ ТРАДИЦИИ"	"Май 22nd, 2015 10:00 ДП"	"Ирина Галкова."	"Район: день за днем"	"2015/May/488.txt"
"ВЕЛИКАЯ ПОБЕДА ВЕЛИКОГО НАРОДА"	"Май 22nd, 2015 10:00 ДП"	"Артур СЕРГЕЕВ."	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/489.txt"
"КУБОК БРЯНСКОГО РАЙОНА ПО ФУТБОЛУ"	"Май 22nd, 2015 09:59 ДП"	"Дмитрий Кулешов."	"Спорт"	"2015/May/490.txt"
"ВОССТАНОВИМ ХРАМ ВСЕМ МИРОМ!"	"Май 22nd, 2015 09:56 ДП"	"-"	"Информация"	"2015/May/491.txt"
"Постановление администрации Брянского района от 21.05.2015 г.  № 1184"	"Май 21st, 2015 09:49 ДП"	"-"	"Информация"	"2015/May/492.txt"
"КОНЦЕРТ В ГОСПИТАЛЕ ДЛЯ ВЕТЕРАНОВ"	"Май 8th, 2015 09:33 ДП"	"Коллектив художественной самодеятельности Добрунского ПДК."	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/493.txt"
"«УРИЦКИЙ-142»"	"Май 8th, 2015 09:32 ДП"	"Геннадий Федорович Федоренков,"	"«Творцы Победы»"	"2015/May/494.txt"
"МОЙ ПРАДЕД — ГЕРОЙ"	"Май 8th, 2015 09:31 ДП"	"Тимофей Бузин,"	"«Творцы Победы»"	"2015/May/495.txt"
"ОВАЦИЙ  ВОСХИТИТЕЛЬНЫЙ  БУКЕТ"	"Май 8th, 2015 09:30 ДП"	"Директор Нетьинского КПЦ"	"Это интересно"	"2015/May/496.txt"
"УВАЖАЯ ПОДВИГ МИЛЛИОНОВ"	"Май 8th, 2015 09:29 ДП"	"Т.В. Горбачева."	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/497.txt"
"УРОК ПОБЕДЫ"	"Май 8th, 2015 09:27 ДП"	"О.Н. Капошко."	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/498.txt"
"О ДОБРОВОЛЬНОЙ ГОСУДАРСТВЕННОЙ ДАКТИЛОСКОПИЧЕСКОЙ РЕГИСТРАЦИИ"	"Май 8th, 2015 09:26 ДП"	"МО МВД России «Брянский»."	"Службы информируют"	"2015/May/499.txt"
"ЛЮБИМЫЕ ПЕСНИ ВОЕННЫХ ЛЕТ"	"Май 8th, 2015 09:26 ДП"	"С.Н. Лущеко."	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/500.txt"
"С ФИЗКУЛЬТУРОЙ МЫ ДРУЖНЫ"	"Май 8th, 2015 09:25 ДП"	"И.И. Кириллова."	"Спорт"	"2015/May/501.txt"
"Третья Глобальная неделя безопасности дорожного движения ООН"	"Май 5th, 2015 09:56 ДП"	"-"	"Разное"	"2015/May/502.txt"
"С ПРАЗДНИКОМ ВЕЛИКОЙ ПОБЕДЫ!"	"Май 8th, 2015 11:20 ДП"	"-"	"Разное"	"2015/May/503.txt"
"БЫТЬ ДОСТОЙНЫМИ ПОКОЛЕНИЯ ПОБЕДИТЕЛЕЙ"	"Май 8th, 2015 11:14 ДП"	"Александр КАЗАКОВ."	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/504.txt"
"ВСТРЕЧА С ВЕТЕРАНАМИ"	"Май 8th, 2015 10:58 ДП"	"-"	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/505.txt"
"ВЫСОКАЯ ОЦЕНКА ПОЛПРЕДА ПРЕЗИДЕНТА"	"Май 8th, 2015 10:58 ДП"	"-"	"Народ и власть"	"2015/May/506.txt"
"ГЕРОИ СОВЕТСКОГО СОЮЗА"	"Май 8th, 2015 10:54 ДП"	"-"	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/507.txt"
"«В ВЫСОКОМ ИМЕНИ СОЛДАТА»"	"Май 8th, 2015 10:53 ДП"	"-"	"Районные, областные и федеральные акции"	"2015/May/508.txt"
"ВЕТЕРАНЫ ВЕЛИКОЙ ОТЕЧЕСТВЕННОЙ ВОЙНЫ — СОТРУДНИКИ МВД"	"Май 8th, 2015 10:52 ДП"	"Начальник штаба МО МВД России «Брянский»,"	"«Творцы Победы»"	"2015/May/509.txt"
"ОНИ  РОДИЛИСЬ В ДЕНЬ ПОБЕДЫ!"	"Май 8th, 2015 10:51 ДП"	"Управление Пенсионного фонда в Брянском муниципальном районе."	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/510.txt"
"МЫ БУДЕМ ПЕТЬ, МЫ БУДЕМ ЖИТЬ!"	"Май 8th, 2015 10:50 ДП"	"Татьяна Кузовина."	"Разное"	"2015/May/511.txt"
"РЕШАТЬ НА УРОВНЕ МЕСТНОЙ ВЛАСТИ"	"Май 8th, 2015 10:50 ДП"	"Н.Ю. Кашпарова."	"Район: день за днем"	"2015/May/512.txt"
"ДЕТСКИЙ ТЕЛЕФОН ДОВЕРИЯ"	"Май 15th, 2015 01:40 ПП"	"-"	"Информация"	"2015/May/513.txt"
"АЛЕКСАНДР БОГОМАЗ — СРЕДИ ЛИДЕРОВ РОСТА ЭФФЕКТИВНОСТИ ГУБЕРНАТОРОВ"	"Май 15th, 2015 10:26 ДП"	"-"	"Народ и власть"	"2015/May/514.txt"
"НАЧАЛО ВСЕХ НАЧАЛ — ВЫСОКАЯ НРАВСТВЕННОСТЬ"	"Май 15th, 2015 10:26 ДП"	"Т. Сущенко."	"Наши земляки"	"2015/May/515.txt"
"«ВЕДЬ ТОЛЬКО ТОГДА МЫ И БУДЕМ СЕМЬЕЙ»"	"Май 15th, 2015 10:25 ДП"	"-"	"Наши земляки"	"2015/May/516.txt"
"СОХРАНИЛИ ДЛЯ НАС МИР"	"Май 15th, 2015 10:24 ДП"	"Светлана РОМАШОВА."	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/517.txt"
"УЧАЩИЕСЯ ГЛИНИЩЕВСКОЙ ДШИ — ПРИЗЕРЫ КОНКУРСА ВО ФРАНЦИИ"	"Май 15th, 2015 10:23 ДП"	"Влада СУВОРОВА."	"Наши земляки"	"2015/May/518.txt"
"СОВЕТСКАЯ ЖУРНАЛИСТИКА ПЕРИОДА ВОЙНЫ"	"Май 15th, 2015 10:22 ДП"	"Екатерина Гурдина,"	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/519.txt"
"НЕЗАБЫВАЕМАЯ ВСТРЕЧА"	"Май 15th, 2015 10:19 ДП"	"Н.В. Молчанова."	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/520.txt"
"ПРАВО ПОДАТЬ АПЕЛЛЯЦИЮ"	"Май 15th, 2015 10:04 ДП"	"-"	"Службы информируют"	"2015/May/521.txt"
"«ПОДРАЗДЕЛЕНИЕ ВЕЧНОСТИ» АЛЕКСЕЯ ШУГУРОВА"	"Май 15th, 2015 10:03 ДП"	"Владимир Левин."	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/522.txt"
"ЯЗВЕННАЯ БОЛЕЗНЬ. ЭТИОЛОГИЯ, КЛИНИКА, ПРИНЦИПЫ ЛЕЧЕНИЯ"	"Май 27th, 2015 03:06 ПП"	"-"	"Здоровье"	"2015/May/523.txt"
"ИНФОРМКУРЬЕР"	"Май 27th, 2015 02:54 ПП"	"-"	"Район: день за днем"	"2015/May/524.txt"
"БРЯНСКАЯ ОБЛАСТЬ ГОТОВА ДЕЛИТЬСЯ ОПЫТОМ С БЕЛОРУССИЕЙ"	"Май 27th, 2015 02:45 ПП"	"Федеральная экспертная сеть «Клуб регионов»."	"Народ и власть"	"2015/May/525.txt"
"ЮРИЙ ГАПЕЕНКО: СЕЛУ НЕОБХОДИМА «ЧИСТАЯ ВОДА»"	"Май 27th, 2015 02:44 ПП"	"Исполком БРО ВПП «Единая Россия»."	"Народ и власть"	"2015/May/526.txt"
"«СКАЖЕМ «ДА» ЛЕГАЛИЗАЦИИ ТРУДА!»"	"Май 27th, 2015 02:42 ПП"	"-"	"Службы информируют"	"2015/May/527.txt"
"ОБЛАСТНАЯ СПАРТАКИАДА ДОПРИЗЫВНОЙ МОЛОДЕЖИ"	"Май 27th, 2015 02:41 ПП"	"Дмитрий КУЛЕШОВ."	"Спорт"	"2015/May/528.txt"
"ИНФОРМКУРЬЕР"	"Март 25th, 2015 09:31 ДП"	"-"	"Район: день за днем"	"2015/March/529.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Март 25th, 2015 09:30 ДП"	"-"	"Народ и власть"	"2015/March/530.txt"
"ОТЦОВСКОЕ ПОЛЕ"	"Март 25th, 2015 09:30 ДП"	"Владимир Мельников."	"Наши земляки"	"2015/March/531.txt"
"КРЫМСКАЯ ВЕСНА: ПУТЬ ДОМОЙ"	"Март 25th, 2015 09:28 ДП"	"Н.М. Певчева,"	"Разное"	"2015/March/532.txt"
"АНАТОЛИЙ СЕРГЕЕВИЧ БОРТУЛЕВ"	"Март 25th, 2015 09:28 ДП"	"Администрация Брянского района."	"«Творцы Победы»"	"2015/March/533.txt"
"СОХРАНЯЕМ ПАМЯТНИКИ — СОХРАНЯЕМ ПАМЯТЬ!"	"Март 23rd, 2015 02:53 ПП"	"С уважением и благодарностью"	"Районные, областные и федеральные акции"	"2015/March/534.txt"
"СТАНЬ АВТОРОМ ПОЧТОВОЙ ОТКРЫТКИ К ДНЮ ПОБЕДЫ"	"Март 23rd, 2015 02:51 ПП"	"-"	"Районные, областные и федеральные акции"	"2015/March/535.txt"
"В РАМКАХ ПРОЕКТА «МЫ ПОМНИМ!» СОСТОЯЛАСЬ ПРЕМЬЕРА СПЕКТАКЛЯ «ВАСИЛИЙ ТЕРКИН» "	"Март 23rd, 2015 02:16 ПП"	"-"	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/March/536.txt"
"ФРОНТОВАЯ СВЯЗИСТКА"	"Март 23rd, 2015 02:09 ПП"	"Константин ЩЕГЛОВ."	"«Творцы Победы»"	"2015/March/537.txt"
"МОИ ГОДА — МОЁ БОГАТСТВО"	"Март 23rd, 2015 02:04 ПП"	"Елена РЫХЛИК"	"«Творцы Победы»"	"2015/March/538.txt"
"ПРОВОДИЛИ ЗИМУ, ВСТРЕТИЛИ ВЕСНУ"	"Март 5th, 2015 02:56 ПП"	"Светлана Вернидуб."	"Разное"	"2015/March/539.txt"
"БОРЬБА С «СЕРЫМИ» ЗАРПЛАТАМИ ПРОДОЛЖАЕТСЯ"	"Март 5th, 2015 02:55 ПП"	"Заместитель  председателя  комиссии"	"Службы информируют"	"2015/March/540.txt"
"БРЯНСКИЕ ЕДИНОРОССЫ НАЧИНАЮТ ИЗБИРАТЕЛЬНУЮ КАМПАНИЮ"	"Март 5th, 2015 02:54 ПП"	"-"	"Народ и власть"	"2015/March/541.txt"
"ОБРАЩАЙТЕСЬ ПО ТЕЛЕФОНУ ДОВЕРИЯ"	"Март 5th, 2015 02:54 ПП"	"        С.А. Емельянов,"	"Службы информируют"	"2015/March/542.txt"
"«ДОБРУ ОТКРОЮТСЯ СЕРДЦА»"	"Март 5th, 2015 02:53 ПП"	"Светлана РОМАШОВА."	"Разное"	"2015/March/543.txt"
"К 70-ЛЕТИЮ ПОБЕДЫ"	"Март 5th, 2015 02:52 ПП"	"-"	"К 70-летию Великой Победы"	"2015/March/544.txt"
"ЛИТЕРАТУРНАЯ ГОСТИНАЯ"	"Март 5th, 2015 02:49 ПП"	"-"	"Информация"	"2015/March/545.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Март 5th, 2015 02:48 ПП"	"-"	"Народ и власть"	"2015/March/546.txt"
"ИНФОРМКУРЬЕР"	"Март 5th, 2015 02:46 ПП"	"-"	"Район: день за днем"	"2015/March/547.txt"
"С ПРАЗДНИКОМ!"	"Март 6th, 2015 01:51 ПП"	"-"	"Разное"	"2015/March/548.txt"
"СТРОИТЕЛЬНЫЙ КОМПЛЕКС: ЧТОБЫ РАЗВИВАТЬСЯ,  НУЖНО  ДВИГАТЬСЯ ВПЕРЕД"	"Март 6th, 2015 01:51 ПП"	"-"	"Народ и власть"	"2015/March/549.txt"
"ВЕТЕРАНОВ ПОЗДРАВИЛИ С ПРАЗДНИКАМИ"	"Март 6th, 2015 01:50 ПП"	"-"	"К 70-летию Великой Победы"	"2015/March/550.txt"
"«КУЛЬТУРА» НА ПОРОГЕ ПЕРЕМЕН"	"Март 6th, 2015 01:50 ПП"	"Александр КАЗАКОВ.     "	"Район: день за днем"	"2015/March/551.txt"
"ЗОЛОТЫЕ РУКИ МАСТЕРИЦЫ"	"Март 6th, 2015 01:48 ПП"	"Николай ПОЛЯКОВ,"	"Наши земляки"	"2015/March/552.txt"
"ИНФОРМАЦИОННО-КОММУНИКАТИВНЫЕ ТЕХНОЛОГИИ В РАБОТЕ С ДОШКОЛЬНИКАМИ"	"Март 6th, 2015 01:46 ПП"	"Ирина ЛИТВИНОВА."	"Разное"	"2015/March/553.txt"
"О ПОРЯДКЕ НАЗНАЧЕНИЯ И ВЫПЛАТЫ ПОСОБИЙ ГРАЖДАНАМ, ИМЕЮЩИМ ДЕТЕЙ"	"Март 6th, 2015 01:45 ПП"	"Светлана ЧЕРНОВА."	"Службы информируют"	"2015/March/554.txt"
"ЭКСКУРСИЯ В …АРМИЮ"	"Март 6th, 2015 01:45 ПП"	"-"	"К 70-летию Великой Победы"	"2015/March/555.txt"
"ЧЕЧЕНСКАЯ ВОЙНА — РАСТЕРЗАННЫЕ ДУШИ"	"Март 6th, 2015 01:44 ПП"	"-"	"К 70-летию Великой Победы"	"2015/March/556.txt"
"ПРОВЕДЕНИЕ ДОБРОВОЛЬНОЙ ГОСУДАРСТВЕННОЙ ДАКТИЛОСКОПИЧЕСКОЙ РЕГИСТРАЦИИ В РФ"	"Март 6th, 2015 01:43 ПП"	"МО МВД России «Брянский»."	"Службы информируют"	"2015/March/557.txt"
"ПОБЕДИВШИЙ СУДЬБУ"	"Март 11th, 2015 04:51 ПП"	"-"	"«Творцы Победы»"	"2015/March/558.txt"
"ВРУЧЕНИЕ ЮБИЛЕЙНЫХ МЕДАЛЕЙ"	"Март 13th, 2015 01:30 ПП"	"Этих дней не смолкнет слава,"	"Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»"	"2015/March/559.txt"
"МАРИЯ СЕРГЕЕВНА ФЕДНЕВА"	"Март 13th, 2015 01:25 ПП"	"-"	"Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»"	"2015/March/560.txt"
"ВАРВАРА СТЕПАНОВНА КУЗНЕЦОВА"	"Март 13th, 2015 12:53 ПП"	"-"	"Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»"	"2015/March/561.txt"
"СЕРГЕЙ ФИЛИППОВИЧ ЖИЛКИН"	"Март 13th, 2015 12:48 ПП"	"-"	"Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»"	"2015/March/562.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Март 13th, 2015 12:23 ПП"	"-"	"Народ и власть"	"2015/March/563.txt"
"«ПОД ЗНАМЕНЕМ ПОБЕДЫ» "	"Март 13th, 2015 12:22 ПП"	"-"	"К 70-летию Великой Победы"	"2015/March/564.txt"
"ОТ НАС, НЕ ВИДЕВШИХ ВОЙНЫ"	"Март 13th, 2015 12:21 ПП"	"-"	"К 70-летию Великой Победы"	"2015/March/565.txt"
"«ВСЕЙ СЕМЬЕЙ НА ВЫБОРЫ!»"	"Март 13th, 2015 12:20 ПП"	"-"	"Народ и власть"	"2015/March/566.txt"
"РАЗВЕДЧИЦА НИНА САЗОНОВА"	"Март 13th, 2015 12:19 ПП"	"-"	"«Творцы Победы»"	"2015/March/567.txt"
"ОНФ ПОМОЖЕТ ВОССТАНОВИТЬ СПРАВЕДЛИВОСТЬ В ВОПРОСЕ ПРИСВОЕНИЯ ИМЕНИ ОРМЕНСКОЙ ШКОЛЕ"	"Март 13th, 2015 12:17 ПП"	"-"	"Народ и власть"	"2015/March/568.txt"
"ЭТАПЫ БОЛЬШОГО ПУТИ  ГВАРДЕЙЦА ЧУВИНА"	"Март 18th, 2015 02:28 ПП"	"-"	"«Творцы Победы»"	"2015/March/569.txt"
"ГУБЕРНАТОРУ ПРЕДЛОЖИЛИ ИЗБАВИТЬСЯ ОТ ПРИСТАВКИ «ВРИО»"	"Март 18th, 2015 01:43 ПП"	"-"	"Народ и власть"	"2015/March/570.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Март 18th, 2015 01:42 ПП"	"-"	"Народ и власть"	"2015/March/571.txt"
"ИНФОРМКУРЬЕР"	"Март 18th, 2015 01:41 ПП"	"-"	"Район: день за днем"	"2015/March/572.txt"
